,observation_date,CPIAUCSL
0,1947-01-01,21.48
1,1947-02-01,21.62
2,1947-03-01,22.0
3,1947-04-01,22.0
4,1947-05-01,21.95
5,1947-06-01,22.08
6,1947-07-01,22.23
7,1947-08-01,22.4
8,1947-09-01,22.84
9,1947-10-01,22.91
10,1947-11-01,23.06
11,1947-12-01,23.41
12,1948-01-01,23.68
13,1948-02-01,23.67
14,1948-03-01,23.5
15,1948-04-01,23.82
16,1948-05-01,24.01
17,1948-06-01,24.15
18,1948-07-01,24.4
19,1948-08-01,24.43
20,1948-09-01,24.36
21,1948-10-01,24.31
22,1948-11-01,24.16
23,1948-12-01,24.05
24,1949-01-01,24.01
25,1949-02-01,23.91
26,1949-03-01,23.91
27,1949-04-01,23.92
28,1949-05-01,23.91
29,1949-06-01,23.92
30,1949-07-01,23.7
31,1949-08-01,23.7
32,1949-09-01,23.75
33,1949-10-01,23.67
34,1949-11-01,23.7
35,1949-12-01,23.61
36,1950-01-01,23.51
37,1950-02-01,23.61
38,1950-03-01,23.64
39,1950-04-01,23.65
40,1950-05-01,23.77
41,1950-06-01,23.88
42,1950-07-01,24.07
43,1950-08-01,24.2
44,1950-09-01,24.34
45,1950-10-01,24.5
46,1950-11-01,24.6
47,1950-12-01,24.98
48,1951-01-01,25.38
49,1951-02-01,25.83
50,1951-03-01,25.88
51,1951-04-01,25.92
52,1951-05-01,25.99
53,1951-06-01,25.93
54,1951-07-01,25.91
55,1951-08-01,25.86
56,1951-09-01,26.03
57,1951-10-01,26.16
58,1951-11-01,26.32
59,1951-12-01,26.47
60,1952-01-01,26.45
61,1952-02-01,26.41
62,1952-03-01,26.39
63,1952-04-01,26.46
64,1952-05-01,26.47
65,1952-06-01,26.53
66,1952-07-01,26.68
67,1952-08-01,26.69
68,1952-09-01,26.63
69,1952-10-01,26.69
70,1952-11-01,26.69
71,1952-12-01,26.71
72,1953-01-01,26.64
73,1953-02-01,26.59
74,1953-03-01,26.63
75,1953-04-01,26.69
76,1953-05-01,26.7
77,1953-06-01,26.77
78,1953-07-01,26.79
79,1953-08-01,26.85
80,1953-09-01,26.89
81,1953-10-01,26.95
82,1953-11-01,26.85
83,1953-12-01,26.87
84,1954-01-01,26.94
85,1954-02-01,26.99
86,1954-03-01,26.93
87,1954-04-01,26.86
88,1954-05-01,26.93
89,1954-06-01,26.94
90,1954-07-01,26.86
91,1954-08-01,26.85
92,1954-09-01,26.81
93,1954-10-01,26.72
94,1954-11-01,26.78
95,1954-12-01,26.77
96,1955-01-01,26.77
97,1955-02-01,26.82
98,1955-03-01,26.79
99,1955-04-01,26.79
100,1955-05-01,26.77
101,1955-06-01,26.71
102,1955-07-01,26.76
103,1955-08-01,26.72
104,1955-09-01,26.85
105,1955-10-01,26.82
106,1955-11-01,26.88
107,1955-12-01,26.87
108,1956-01-01,26.83
109,1956-02-01,26.86
110,1956-03-01,26.89
111,1956-04-01,26.93
112,1956-05-01,27.03
113,1956-06-01,27.15
114,1956-07-01,27.29
115,1956-08-01,27.31
116,1956-09-01,27.35
117,1956-10-01,27.51
118,1956-11-01,27.51
119,1956-12-01,27.63
120,1957-01-01,27.67
121,1957-02-01,27.8
122,1957-03-01,27.86
123,1957-04-01,27.93
124,1957-05-01,28.0
125,1957-06-01,28.11
126,1957-07-01,28.19
127,1957-08-01,28.28
128,1957-09-01,28.32
129,1957-10-01,28.32
130,1957-11-01,28.41
131,1957-12-01,28.47
132,1958-01-01,28.64
133,1958-02-01,28.7
134,1958-03-01,28.87
135,1958-04-01,28.94
136,1958-05-01,28.94
137,1958-06-01,28.91
138,1958-07-01,28.89
139,1958-08-01,28.94
140,1958-09-01,28.91
141,1958-10-01,28.91
142,1958-11-01,28.95
143,1958-12-01,28.97
144,1959-01-01,29.01
145,1959-02-01,29.0
146,1959-03-01,28.97
147,1959-04-01,28.98
148,1959-05-01,29.04
149,1959-06-01,29.11
150,1959-07-01,29.15
151,1959-08-01,29.18
152,1959-09-01,29.25
153,1959-10-01,29.35
154,1959-11-01,29.35
155,1959-12-01,29.41
156,1960-01-01,29.37
157,1960-02-01,29.41
158,1960-03-01,29.41
159,1960-04-01,29.54
160,1960-05-01,29.57
161,1960-06-01,29.61
162,1960-07-01,29.55
163,1960-08-01,29.61
164,1960-09-01,29.61
165,1960-10-01,29.75
166,1960-11-01,29.78
167,1960-12-01,29.81
168,1961-01-01,29.84
169,1961-02-01,29.84
170,1961-03-01,29.84
171,1961-04-01,29.81
172,1961-05-01,29.84
173,1961-06-01,29.84
174,1961-07-01,29.92
175,1961-08-01,29.94
176,1961-09-01,29.98
177,1961-10-01,29.98
178,1961-11-01,29.98
179,1961-12-01,30.01
180,1962-01-01,30.04
181,1962-02-01,30.11
182,1962-03-01,30.17
183,1962-04-01,30.21
184,1962-05-01,30.24
185,1962-06-01,30.21
186,1962-07-01,30.22
187,1962-08-01,30.28
188,1962-09-01,30.42
189,1962-10-01,30.38
190,1962-11-01,30.38
191,1962-12-01,30.38
192,1963-01-01,30.44
193,1963-02-01,30.48
194,1963-03-01,30.51
195,1963-04-01,30.48
196,1963-05-01,30.51
197,1963-06-01,30.61
198,1963-07-01,30.69
199,1963-08-01,30.75
200,1963-09-01,30.72
201,1963-10-01,30.75
202,1963-11-01,30.78
203,1963-12-01,30.88
204,1964-01-01,30.94
205,1964-02-01,30.91
206,1964-03-01,30.94
207,1964-04-01,30.95
208,1964-05-01,30.98
209,1964-06-01,31.01
210,1964-07-01,31.02
211,1964-08-01,31.05
212,1964-09-01,31.08
213,1964-10-01,31.12
214,1964-11-01,31.21
215,1964-12-01,31.25
216,1965-01-01,31.28
217,1965-02-01,31.28
218,1965-03-01,31.31
219,1965-04-01,31.38
220,1965-05-01,31.48
221,1965-06-01,31.61
222,1965-07-01,31.58
223,1965-08-01,31.55
224,1965-09-01,31.62
225,1965-10-01,31.65
226,1965-11-01,31.75
227,1965-12-01,31.85
228,1966-01-01,31.88
229,1966-02-01,32.08
230,1966-03-01,32.18
231,1966-04-01,32.28
232,1966-05-01,32.35
233,1966-06-01,32.38
234,1966-07-01,32.45
235,1966-08-01,32.65
236,1966-09-01,32.75
237,1966-10-01,32.85
238,1966-11-01,32.88
239,1966-12-01,32.92
240,1967-01-01,32.9
241,1967-02-01,33.0
242,1967-03-01,33.0
243,1967-04-01,33.1
244,1967-05-01,33.1
245,1967-06-01,33.3
246,1967-07-01,33.4
247,1967-08-01,33.5
248,1967-09-01,33.6
249,1967-10-01,33.7
250,1967-11-01,33.9
251,1967-12-01,34.0
252,1968-01-01,34.1
253,1968-02-01,34.2
254,1968-03-01,34.3
255,1968-04-01,34.4
256,1968-05-01,34.5
257,1968-06-01,34.7
258,1968-07-01,34.9
259,1968-08-01,35.0
260,1968-09-01,35.1
261,1968-10-01,35.3
262,1968-11-01,35.4
263,1968-12-01,35.6
264,1969-01-01,35.7
265,1969-02-01,35.8
266,1969-03-01,36.1
267,1969-04-01,36.3
268,1969-05-01,36.4
269,1969-06-01,36.6
270,1969-07-01,36.8
271,1969-08-01,36.9
272,1969-09-01,37.1
273,1969-10-01,37.3
274,1969-11-01,37.5
275,1969-12-01,37.7
276,1970-01-01,37.9
277,1970-02-01,38.1
278,1970-03-01,38.3
279,1970-04-01,38.5
280,1970-05-01,38.6
281,1970-06-01,38.8
282,1970-07-01,38.9
283,1970-08-01,39.0
284,1970-09-01,39.2
285,1970-10-01,39.4
286,1970-11-01,39.6
287,1970-12-01,39.8
288,1971-01-01,39.9
289,1971-02-01,39.9
290,1971-03-01,40.0
291,1971-04-01,40.1
292,1971-05-01,40.3
293,1971-06-01,40.5
294,1971-07-01,40.6
295,1971-08-01,40.7
296,1971-09-01,40.8
297,1971-10-01,40.9
298,1971-11-01,41.0
299,1971-12-01,41.1
300,1972-01-01,41.2
301,1972-02-01,41.4
302,1972-03-01,41.4
303,1972-04-01,41.5
304,1972-05-01,41.6
305,1972-06-01,41.7
306,1972-07-01,41.8
307,1972-08-01,41.9
308,1972-09-01,42.1
309,1972-10-01,42.2
310,1972-11-01,42.4
311,1972-12-01,42.5
312,1973-01-01,42.7
313,1973-02-01,43.0
314,1973-03-01,43.4
315,1973-04-01,43.7
316,1973-05-01,43.9
317,1973-06-01,44.2
318,1973-07-01,44.2
319,1973-08-01,45.0
320,1973-09-01,45.2
321,1973-10-01,45.6
322,1973-11-01,45.9
323,1973-12-01,46.3
324,1974-01-01,46.8
325,1974-02-01,47.3
326,1974-03-01,47.8
327,1974-04-01,48.1
328,1974-05-01,48.6
329,1974-06-01,49.0
330,1974-07-01,49.3
331,1974-08-01,49.9
332,1974-09-01,50.6
333,1974-10-01,51.0
334,1974-11-01,51.5
335,1974-12-01,51.9
336,1975-01-01,52.3
337,1975-02-01,52.6
338,1975-03-01,52.8
339,1975-04-01,53.0
340,1975-05-01,53.1
341,1975-06-01,53.5
342,1975-07-01,54.0
343,1975-08-01,54.2
344,1975-09-01,54.6
345,1975-10-01,54.9
346,1975-11-01,55.3
347,1975-12-01,55.6
348,1976-01-01,55.8
349,1976-02-01,55.9
350,1976-03-01,56.0
351,1976-04-01,56.1
352,1976-05-01,56.4
353,1976-06-01,56.7
354,1976-07-01,57.0
355,1976-08-01,57.3
356,1976-09-01,57.6
357,1976-10-01,57.9
358,1976-11-01,58.1
359,1976-12-01,58.4
360,1977-01-01,58.7
361,1977-02-01,59.3
362,1977-03-01,59.6
363,1977-04-01,60.0
364,1977-05-01,60.2
365,1977-06-01,60.5
366,1977-07-01,60.8
367,1977-08-01,61.1
368,1977-09-01,61.3
369,1977-10-01,61.6
370,1977-11-01,62.0
371,1977-12-01,62.3
372,1978-01-01,62.7
373,1978-02-01,63.0
374,1978-03-01,63.4
375,1978-04-01,63.9
376,1978-05-01,64.5
377,1978-06-01,65.0
378,1978-07-01,65.5
379,1978-08-01,65.9
380,1978-09-01,66.5
381,1978-10-01,67.1
382,1978-11-01,67.5
383,1978-12-01,67.9
384,1979-01-01,68.5
385,1979-02-01,69.2
386,1979-03-01,69.9
387,1979-04-01,70.6
388,1979-05-01,71.4
389,1979-06-01,72.2
390,1979-07-01,73.0
391,1979-08-01,73.7
392,1979-09-01,74.4
393,1979-10-01,75.2
394,1979-11-01,76.0
395,1979-12-01,76.9
396,1980-01-01,78.0
397,1980-02-01,79.0
398,1980-03-01,80.1
399,1980-04-01,80.9
400,1980-05-01,81.7
401,1980-06-01,82.5
402,1980-07-01,82.6
403,1980-08-01,83.2
404,1980-09-01,83.9
405,1980-10-01,84.7
406,1980-11-01,85.6
407,1980-12-01,86.4
408,1981-01-01,87.2
409,1981-02-01,88.0
410,1981-03-01,88.6
411,1981-04-01,89.1
412,1981-05-01,89.7
413,1981-06-01,90.5
414,1981-07-01,91.5
415,1981-08-01,92.2
416,1981-09-01,93.1
417,1981-10-01,93.4
418,1981-11-01,93.8
419,1981-12-01,94.1
420,1982-01-01,94.4
421,1982-02-01,94.7
422,1982-03-01,94.7
423,1982-04-01,95.0
424,1982-05-01,95.9
425,1982-06-01,97.0
426,1982-07-01,97.5
427,1982-08-01,97.7
428,1982-09-01,97.7
429,1982-10-01,98.1
430,1982-11-01,98.0
431,1982-12-01,97.7
432,1983-01-01,97.9
433,1983-02-01,98.0
434,1983-03-01,98.1
435,1983-04-01,98.8
436,1983-05-01,99.2
437,1983-06-01,99.4
438,1983-07-01,99.8
439,1983-08-01,100.1
440,1983-09-01,100.4
441,1983-10-01,100.8
442,1983-11-01,101.1
443,1983-12-01,101.4
444,1984-01-01,102.1
445,1984-02-01,102.6
446,1984-03-01,102.9
447,1984-04-01,103.3
448,1984-05-01,103.5
449,1984-06-01,103.7
450,1984-07-01,104.1
